Player,Team,Pos,fg_pcg,three_pt_pcg,ft_pcg,offensive_rating,defensive_rating,total_rating,wins_above_replacement,nba_2k_strength,nba_2k_rating
Malcolm Miller,Raptors,SF,33%,32%,17%,0.17,1.03,1.2,0.25,3PT Specialist,69.0
Patty Mills,Spurs,PG,42%,38%,85%,2.65,0.68,3.33,4.16,Floor-Spacing Slasher,78.0
Paul Millsap,Nuggets,PF,48%,44%,84%,0.32,2.4,2.72,2.65,2-Way 3-Level Scorer,82.0
Shake Milton,76ers,PG,49%,46%,77%,0.53,-2.58,-2.05,0.18,3-Level Scorer,71.0
Donovan Mitchell,Jazz,SG,46%,37%,86%,2.96,-2.46,0.5,3.3,2-Way Scoring Machine,88.0
Adam Mokoka,Bulls,SG,43%,40%,50%,3.6,-0.42,3.18,0.28,Inside-Out Scorer,68.0
Malik Monk,Hornets,SG,43%,28%,82%,-1.37,-2.95,-4.32,-0.94,Mid-Range Finisher,75.0
Ja Morant,Grizzlies,PG,49%,35%,77%,0.77,-1.54,-0.77,1.63,Inside-Out Playmaker,84.0
Markieff Morris,Lakers,PF,45%,40%,77%,-1.18,-2.68,-3.86,-0.6,Inside-Out Scorer,75.0
Monte Morris,Nuggets,PG,46%,38%,81%,1.24,-1.33,-0.09,1.74,Playmaking Shot Creator,78.0
Johnathan Motley,Clippers,PF,73%,100%,71%,3.85,-0.98,2.87,0.12,Finisher,70.0
Emmanuel Mudiay,Jazz,PG,47%,36%,75%,-2.37,-1.69,-4.05,-0.49,Mid-Range Shot Creator,76.0
Dejounte Murray,Spurs,PG,49%,39%,80%,-0.21,0.38,0.17,1.99,2-Way Slasher,80.0
Jamal Murray,Nuggets,PG,45%,34%,89%,1.36,0.68,2.04,3.94,Floor-Spacing Slasher,84.0
Mike Muscala,Thunder,C,41%,36%,82%,-1.81,2.16,0.35,0.76,3-Level Scorer,74.0
Abdel Nader,Thunder,SF,46%,36%,77%,-3.98,0.58,-3.4,-0.23,3PT Specialist,72.0
Shabazz Napier,Wizards,PG,40%,30%,82%,0.34,-0.22,0.12,1.59,Mid-Range Shot Creator,78.0
Raul Neto,76ers,PG,44%,37%,82%,-2.26,3.82,1.56,1.13,3 PT Specialist,73.0
Georges Niang,Jazz,SF,45%,42%,86%,0.23,-2.27,-2.04,0.26,Stretch Four,75.0
Nerlens Noel,Thunder,C,69%,33%,77%,-1.02,2.88,1.87,2.21,Mid-Range Finisher,78.0
Frank Ntilikina,Knicks,PG,39%,31%,87%,-2.58,0.7,-1.88,0.47,2-Way Mid-Range Scorer,74.0
Kendrick Nunn,Heat,SG,45%,36%,84%,0.45,-0.13,0.32,2.68,Mid-Range Finisher,79.0
David Nwaba,Cavaliers,SG,52%,43%,67%,-1.02,6.76,5.74,1.17,3-Level Scorer,73.0
Semi Ojeleye,Celtics,PF,40%,36%,89%,-2.18,1.36,-0.82,0.78,3PT Specialist,71.0
Jahlil Okafor,Pelicans,C,61%,50%,64%,-1.45,-2.24,-3.69,-0.2,Mid-Range Finisher,77.0
Elie Okobo,Suns,PG,40%,36%,69%,-1.42,-2.59,-4.01,-0.43,Deep-Range Shot Creator,73.0
Josh Okogie,Twolves,SG,43%,26%,79%,-2.1,0.69,-1.41,0.97,Perimeter Lockdown,75.0
KZ Okpala,Heat,SF,60%,0%,50%,-1.32,-4.56,-5.89,-0.04,Slasher,71.0
Victor Oladipo,Pacers,SG,37%,26%,77%,-3.08,3.29,0.21,0.39,2-Way Mid-Range Shooter,87.0
Kelly Olynyk,Heat,C,47%,43%,85%,0.47,-0.73,-0.27,1.33,Inside-Out Scorer,78.0
Cedi Osman,Cavaliers,SG,44%,38%,64%,-0.81,-0.59,-1.4,1.19,3PT Specialist,75.0
Tariq Owens,Suns,PF,20%,0%,100%,-2.39,-10.71,-13.1,-0.08,Interior Finisher,68.0
Jabari Parker,Kings,PF,50%,27%,74%,0.59,-1.85,-1.27,0.65,Slashing Four,80.0
Eric Paschall,Warriors,PF,50%,29%,77%,-1.52,-3.22,-4.75,-1.55,Mid-Range Specialist,79.0
Patrick Patterson,Clippers,PF,40%,38%,79%,-0.15,0.97,0.83,1.08,Stretch Four,75.0
Chris Paul,Thunder,PG,48%,36%,89%,6.21,-2.47,3.74,6.17,All-Around 2-Way,87.0
Elfrid Payton,Knicks,PG,43%,22%,53%,0.37,0.63,0.99,2.06,2-Way Playmaker,77.0
Theo Pinson,Nets,SF,30%,19%,94%,-5.03,2.37,-2.67,0.01,Finisher,69.0
Mason Plumlee,Nuggets,C,63%,0%,54%,-0.25,0.01,-0.24,1.07,Glass Cleaner,79.0
Vincent Poirier,Celtics,C,48%,50%,86%,-4.07,-3.14,-7.21,-0.26,Glass Cleaner,73.0
Jordan Poole,Warriors,SG,33%,28%,81%,-3.06,-1.74,-4.8,-1.25,Slasher,71.0
Bobby Portis,Knicks,PF,44%,35%,76%,-2.13,-1.71,-3.83,-0.69,Inside-Out Scorer,79.0
Dwight Powell,Mavericks,PF,64%,26%,67%,-0.16,0.65,0.49,1.74,Glass Cleaner,79.0
Norman Powell,Raptors,SF,50%,39%,83%,0.5,0.27,0.77,2.07,3PT Specialist,79.0
Julius Randle,Knicks,PF,45%,26%,72%,-0.75,0.13,-0.62,2.06,Slashing Four,82.0
Josh Richardson,76ers,SF,43%,33%,79%,-0.28,0.99,0.71,2.54,2-Way Mid-Range Shooter,79.0
Austin Rivers,Rockets,SG,42%,35%,70%,0.73,-2.39,-1.66,0.71,Slasher,75.0
Duncan Robinson,Heat,SG,46%,44%,90%,3.06,-0.72,2.34,4.57,3PT Specialist,78.0
Jerome Robinson,Wizards,SG,34%,28%,58%,-4.36,0.14,-4.22,-0.48,3-Level Scorer,70.0
Rajon Rondo,Lakers,PG,42%,34%,67%,-0.55,-2.86,-3.42,-0.31,2-Way 3PT Playmaker,77.0
Derrick Rose,Pistons,PG,49%,31%,87%,2.72,-2.21,0.51,2.17,Slashing Playmaker,84.0
Terrence Ross,Magic,SF,39%,34%,85%,0.3,-0.66,-0.36,1.91,Mid-Range Finisher,78.0
Terry Rozier,Hornets,PG,42%,39%,88%,-1.05,-0.93,-1.99,0.78,Inside-Out Playmaker,80.0
Ricky Rubio,Suns,PG,41%,34%,84%,1.2,0.01,1.21,3.38,Playmaker,80.0
Domantas Sabonis,Pacers,PF,54%,23%,73%,1.41,-0.26,1.16,3.9,Mid-Range Finisher,84.0
JaKarr Sampson,Pacers,PF,59%,17%,40%,-3.02,0.79,-2.23,0.07,Slashing Four,72.0
Admiral Schofield,Wizards,SG,40%,30%,69%,-2.05,-3.12,-5.17,-0.36,3-Level Scorer,71.0
Mike Scott,76ers,PF,40%,36%,89%,0.1,-1.32,-1.22,0.78,Mid-Range Specialist,73.0
Thabo Sefolosha,Rockets,SF,41%,28%,38%,-2.16,1.23,-0.93,0.4,Inside-Out Scorer,72.0
Collin Sexton,Cavaliers,PG,46%,39%,84%,1.1,-4.9,-3.8,-1.04,Mid-Range Slasher,79.0
Landry Shamet,Clippers,PG,43%,40%,90%,0.83,-1.75,-0.91,1.15,3PT Specialist,74.0
Iman Shumpert,Rockets,SG,33%,24%,57%,-4.34,0.96,-3.38,-0.08,Floor-Spacing Slasher,72.0
Pascal Siakam,Raptors,PF,46%,37%,79%,0.91,0.28,1.19,3.47,2-Way 3-Level Scorer,88.0
Chris Silva,Heat,PF,62%,0%,69%,-0.79,-2.54,-3.33,-0.09,Glass Cleaner,73.0
Ben Simmons,76ers,SF,59%,33%,63%,0.43,1.9,2.34,5.06,2-Way Slashing Playmaker,88.0
Anfernee Simons,Trail Blazers,SG,40%,34%,82%,-2.57,-3.77,-6.34,-2.41,3-Level Scorer,72.0
Marcus Smart,Celtics,SG,38%,35%,81%,0.77,2.57,3.34,4.81,Perimeter Lockdown,80.0
Ish Smith,Wizards,PG,45%,37%,69%,-0.48,-2.86,-3.35,-0.47,Playmaking Shot Creator,77.0
Zhaire Smith,76ers,SG,27%,0%,50%,-7.55,-2.44,-9.99,-0.12,Athletic Finisher,72.0
Tony Snell,Pistons,SF,45%,41%,100%,-0.1,-1.96,-2.06,0.53,3PT Specialist,73.0
Omari Spellman,Twolves,PF,43%,39%,79%,-2.74,-1.72,-4.46,-0.78,Stretch Four,77.0
Max Strus,Bulls,SF,67%,0%,100%,18.86,11.97,30.83,0.11,3 PT Shot Creator,68.0
Edmond Sumner,Pacers,SG,42%,29%,62%,-1.82,-0.81,-2.63,0.02,Athletic Finisher,71.0
Caleb Swanigan,Trail Blazers,C,60%,0%,53%,-3.7,-3.0,-6.69,-0.49,Glass Cleaner,70.0
Jayson Tatum,Celtics,SF,45%,40%,82%,3.58,1.66,5.25,7.72,Floor-Spacing Slasher,86.0
Jeff Teague,Hawks,PG,45%,38%,87%,0.17,-3.47,-3.3,-0.39,3PT Playmaker,80.0
Garrett Temple,Nets,SG,38%,32%,77%,-1.67,0.35,-1.32,1.12,Floor-Spacing Slasher,71.0
Daniel Theis,Celtics,PF,56%,30%,76%,-0.51,2.04,1.53,2.71,Paint Beast,80.0
Isaiah Thomas,Nuggets,PG,41%,41%,82%,-1.05,-5.98,-7.02,-2.03,Mid-Range Playmaker,77.0
Khyri Thomas,Pistons,SG,33%,40%,50%,-1.37,0.61,-0.75,0.03,3PT Specialist,69.0
Tristan Thompson,Cavaliers,C,52%,43%,63%,-1.83,0.68,-1.14,1.35,Glass Cleaner,81.0
Matisse Thybulle,76ers,SG,40%,36%,62%,-2.18,3.52,1.34,2.17,3 & D Guard,75.0
Anthony Tolliver,Twolves,PF,37%,34%,68%,-3.42,-0.86,-4.27,-0.5,Stretch Four,72.0
Karl-Anthony Towns,Twolves,C,51%,41%,80%,5.89,0.66,6.55,5.71,3-Level Scorer,91.0
Allonzo Trier,Knicks,SG,48%,36%,79%,-1.22,-5.14,-6.36,-0.52,Deep-Range Shot Creator,75.0
P.J. Tucker,Rockets,PF,44%,38%,84%,-1.73,2.41,0.68,3.55,2-Way Stretch Four,76.0
Rayjon Tucker,Jazz,SG,42%,0%,60%,-3.63,-2.3,-5.93,-0.13,3PT Specialist,69.0
Evan Turner,Twolves,SF,37%,0%,86%,-5.46,0.69,-4.77,-0.26,Mid-Interior Playmaker,73.0
Myles Turner,Pacers,C,45%,34%,76%,-2.33,1.1,-1.23,1.13,Interior Force,80.0
Denzel Valentine,Bulls,SF,41%,35%,100%,0.74,2.33,3.07,1.12,3 PT Specialist,76.0
Jarred Vanderbilt,Twolves,SF,0%,0%,100%,-9.18,-1.06,-10.24,-0.18,Finisher,70.0
Fred VanVleet,Raptors,PG,41%,39%,84%,1.78,0.8,2.58,4.64,2-Way Inside-Out Playmaker,83.0
Noah Vonleh,Nuggets,PF,55%,14%,82%,-3.55,1.86,-1.69,0.2,3-Level Scorer,76.0
Dean Wade,Cavaliers,PF,67%,50%,0%,-3.26,1.98,-1.28,0.04,Inside-Out Scorer,68.0
Moritz Wagner,Wizards,PF,57%,34%,81%,-0.94,2.28,1.34,1.3,Stretch Five,78.0
Dion Waiters,Heat,SG,38%,47%,0%,1.64,-3.0,-1.36,0.03,Floor-Spacing Slasher,76.0
Kemba Walker,Celtics,PG,43%,39%,87%,5.72,-0.61,5.11,5.94,Inside-Out Playmaker,88.0
Tyrone Wallace,Hawks,SG,32%,7%,65%,-6.58,1.54,-5.04,-0.19,Mid-Range Slasher,68.0
Brad Wanamaker,Celtics,SG,43%,39%,93%,-1.04,-0.44,-1.48,0.71,Offensive-Minded Point,74.0
T.J. Warren,Pacers,SF,53%,38%,81%,0.17,0.82,0.99,3.51,3-Level Scorer,81.0
Yuta Watanabe,Grizzlies,SF,35%,40%,38%,-3.6,2.42,-1.19,0.07,Prospect,68.0
Tremont Waters,Celtics,PG,36%,13%,100%,-3.48,-1.02,-4.5,-0.07,Offense Initiator,69.0
Paul Watson,Raptors,SG,0%,0%,50%,-6.29,3.39,-2.9,-0.0,Inside-Out Scorer,67.0
Russell Westbrook,Rockets,PG,47%,25%,78%,0.35,-0.42,-0.07,2.5,2-Way Slashing Playmaker,89.0
Coby White,Bulls,PG,39%,36%,78%,-1.07,-1.54,-2.61,0.11,Offense Initiator,75.0
Derrick White,Spurs,PG,46%,36%,85%,0.85,1.33,2.18,3.36,2-Way Shot Creator,80.0
Hassan Whiteside,Trail Blazers,C,61%,50%,69%,0.8,2.48,3.28,5.32,2-Way Mid-Range Finisher,87.0
Andrew Wiggins,Warriors,SF,44%,33%,72%,0.3,-2.27,-1.97,0.69,Slasher,82.0
Grant Williams,Celtics,PF,42%,26%,73%,-3.1,2.84,-0.25,1.13,Interior Finisher,71.0
Johnathan Williams,Wizards,PF,64%,0%,60%,-2.33,-6.45,-8.78,-0.41,Rebounder,68.0
Kenrich Williams,Pelicans,SF,34%,26%,38%,-2.3,2.51,0.21,1.17,3PT Shooter,71.0
Lou Williams,Clippers,SG,42%,37%,86%,2.3,-2.8,-0.5,1.97,Floor-Spacing Slasher,82.0
Marvin Williams,Bucks,PF,45%,38%,86%,-0.67,-0.86,-1.54,0.55,Stretch Four,76.0
Nigel Williams-Goss,Jazz,PG,14%,0%,100%,-3.87,4.7,0.83,0.05,Offense Initiator,72.0
Zion Williamson,Pelicans,PF,59%,42%,64%,1.89,0.61,2.5,1.18,Slashing Four,82.0
D.J. Wilson,Bucks,PF,40%,24%,67%,-4.6,-3.78,-8.38,-0.73,Interior Finisher,70.0
Justise Winslow,Grizzlies,SF,39%,22%,67%,-1.74,1.78,0.04,0.5,3-Level Scorer,77.0
Christian Wood,Pistons,PF,55%,37%,75%,1.67,3.0,4.67,4.45,Stretch Four,78.0
Delon Wright,Mavericks,PG,46%,36%,79%,0.58,0.07,0.65,2.17,Inside-Out Playmaker,79.0
Thaddeus Young,Bulls,PF,45%,37%,59%,-2.96,0.71,-2.24,0.38,Inside-Out Scorer,76.0
Trae Young,Hawks,PG,44%,36%,86%,7.5,-3.19,4.31,7.33,Offensive Threat,90.0
Cody Zeller,Hornets,C,52%,24%,67%,-0.6,-1.63,-2.23,0.33,Glass Cleaner,79.0
Ivica Zubac,Clippers,C,60%,0%,75%,0.54,3.02,3.56,3.47,Glass Cleaner,78.0
